name,picture,text
anjing,B1,there are some snow mountain after green mountains. it makes  me feel very peaceful and I really like this picture
anjing,B2,it is sunny  day in this  city  there are a lot of classical buidings
anjing,B3,ther is a blue lake in the valley surrounded with a lot with a lot with green trees. The half of the lake in shadow  while the other part is striked by the sun
anjing,B4,there are a lot of buildings around the zurich lake. ther is litte clouds on the sky so the snow mountains is clear aand grand
anjing,B5,some yellow plants are grown on the side of the lake. Moss grew on the stones. on the other side of lake  you can see the  city. behind the lake  some mountains are looming in the clouds
anjing,B6,classical alpine vegetation vegetation. you can see the white snow is beside the green tree
BoDu,B1,A truely magnificent sight. The three iconic mountains Eiger  Mönch and Jungfrau with the Kleine Scheidegg below them rise into the sky majesticly. It is almost fearsome how gargantuan these mountains are. An iconic view of the Swiss alps.
BoDu,B2,A bird's eye view from the city. Eventhough the weather makes up for quite a soothing atmosphere  it get's disrputed by the visual presence of cranes on construction sites. The districts on the other hand seem quite cozy  especially on the inside of the building complexes.
BoDu,B3,What a sight. This mountain lake with ist surroundings just calls for adventure  relaxation and tranquillity. The colour saturation of the lake  meadows  trees and rocks seems so high but still natural that you can feel the freshness of it on your own body. A picture that transports sensations straight to your body. Smell  taste  view  sound and sensation.
BoDu,B4,An exquisite picture to portray a representation of Switzerland. The city of Zürich  standing for the lowlands   as one of the cities with the best life quality in the world (according to evaluations) just below your feet. Further back  the lake of Zürich extends further south to the prealpine mountain ranges. And in the back  one finds the snowy peaks of the alpine mountains. A sight to enjoy.
BoDu,B5,As sight so beautiful that it could be almost from a fairy tale. Saturated juicy plants and flowers next to a crystal clear lake. A town with some older  but still very intact buildings resides on the shore of the lake. Behind it watch mountainranges with steep slopes over the valley.
BoDu,B6,The approximate geographic core of Switzerland. A view of a multifacetted landscape. From the Vierwaldstättersee  on to ist surroundings further to the prealpine mountains around it to the snowy peaks of the alps in the back  this sight is so majestic that many a person has travelled from quite far a way to get a grasp of this beauty.
capf,B1,Currently spending my hiking holidays in the beautiful Jungfrau Region. This view of Eiger  Mönch and Jungfrau will never get old. I am so exiting for the next few days!
capf,B2,What an exiting day! Finally moved to my new flat in the center of Basel. Beautiful view over the whole city including the new Roche Tower. 
capf,B3,Nice little hike around Fälensee in the Alpstein region. The intensity of the colours is incredible. I will return soon  thats for sure!
capf,B4,One of the most scenic view you can get in Zurich. The alps in the background are still covered in snow  which beautifully contrasts with the lush green  the lake and the city.  A spot that I should definitely visit more often.
capf,B5,I spent the weekend in the Ticino. Nowhere else in Switzerland you can get a Meditterean feeling paired with snowy mountains and beautiful cities at a Lake. The Landscape there is just so colourful.
capf,B6,Last days of summer and I took the chance for a hike to Mount Pilatus. This is certainly the best view you can get of Lake Lucerne and ist surroundings. My favorite place in Central Switzerland.
cobu,B1,Hiking in the Swiss Alps. Having an amazing view over the snow covered mountain peaks. Soon  there is time for lunch in the mountain hut. 
cobu,B2,Drinking a beer in a rooftop bar  having a view over Basel. The Roche Tower is prominent in the skyline. The trams are loud.
cobu,B3,Having a wonderful hike in the Swiss Alps. The lake is turqouise and the weather is perfect. Maybe I'm going for a swim later. 
cobu,B4,Having lunch break at ETH Hönggerberg. The view over Zurich is breathtaking  seing the city  the lake and the alps in the background. The weather is sunny and warm. 
cobu,B5,Walking by the lake. Beautiful yellow and violet flowers near the shore. At the next bench  I will sit down and read a book while enjoying the view and the weather. 
cobu,B6,On the top of Pilatus! Amazing view over the prominent Vierwaldstättersee. Switzerland is so beautiful.The weather is super warm  although there is still some snow above. 
dele,B1,There is a beautiful landscape surrounded by mountains. The area is very quiet. Some of the mountains are covered by snow  which reminds me of winter holidays
dele,B2,Top view over Basel. The weather is beautiful. I like the towers standing out of the city.
dele,B3,Beautiful turquoise lake in the heart of the mountains. The weather and the fresh air reminds me of summer holidays. Hiking time in the Swiss Alps.
dele,B4,Zürich and its lake are beautifully positioned in a picture. In the skyline we can see the snow covered Alps. Up un this hill where I'm standing there is no traffic noise.
dele,B5,Colorful picture of nature and city. The atmosphere is quiet and brightful in the foreground. In the background the atmosphere is more mystic with foggy mountains.
dele,B6,Hillarious view over Vierwaldstättersee. Picture was taken on a dangerous hiking path. The color of the lake is extremely blue.
disu,B1,Beautiful view of the mountains from this point of view. In the front you see some meadows while in the back the rough and snowy peaks are visible. A beautiful picture of contrasts.
disu,B2,Wednesday afternoon on rooftops. Nice to see the city from this point of view and catch some sun  before the winterfog hits again.
disu,B3,Lake xxx situated in a valley between the mountains is beautiful. This secluded places invites to spend the rest of the day laying on ist shore. And doing absolutely nothing.
disu,B4,Beautiful Zürich. You can see how the city is build around the lake and is embedded in hills around it. On a beautiful sunny day like this you can see all the way to the Glarner Alps.
disu,B5,Cheesey postcard picture my grandma would absolutely love. The huge mountains make the buildings look small and unimportant. This is an impressive image of contrasts.
disu,B6,I had the best view from here! You can see all they way across the Vierwaldstätter Lake to the Rigi and beyond. With the sun shining and some snow still visible it this impressive landscape almost looks like scene from a fantasy movie.
fati,B1,A tremendous view from the mountain i climbed yesterday. I especially love the difference between the snowy rocky mountains in the background and the soothing grasslands in the front. Would go there again 100% 10/10
fati,B2,Sweet sweet terrace in the summer. Love being up here during my freetime  its just the perfect comination of being in the city but having some distance. Reading a book  studying or drinking a beer with some friends its all perfect here.
fati,B3,That mountain lake is just incredible! I couldnt believe its colors  which are even crazier in person. Definitely one of the most beautiful views while hiking last weekend.
